time,open,high,low,close
1365600600,15.289274,15.609272,15.214628,15.560339
1365687000,15.489983,15.642484,15.399983,15.511773
1365773400,15.505338,15.505338,15.324631,15.349986
1366032600,15.249985,15.281767,14.983915,14.994631
1366119000,15.056059,15.23606,15.020345,15.222842
1366205400,15.009629,15.021417,14.218204,14.385702
1366291800,14.463914,14.492487,13.919341,14.001773
1366378200,13.856057,14.271418,13.753561,13.947487
1366637400,14.022839,14.36427,13.97409,14.238197
1366723800,14.4282,14.585025,14.243202,14.504624
1366810200,14.054987,14.830342,14.017843,14.480768
1366896600,14.686596,14.783555,14.5357,14.584981
1366983000,14.636059,14.956022,14.580343,14.900167
1367242200,15.016055,15.486304,14.999985,15.361417
1367328600,15.539274,15.90177,15.431058,15.813557
1367415000,15.873554,15.890339,15.513909,15.688914
1367501400,15.777842,16.021059,15.736766,15.911413
1367587800,16.1182,16.186769,16.041052,16.070698
1367847000,16.275339,16.507125,16.225343,16.453911
1367933400,16.606054,16.633912,16.203553,16.380625
1368019800,16.394271,16.620345,16.278914,16.565701
1368106200,16.421771,16.535698,16.270701,16.313199
1368192600,16.356054,16.418196,16.088555,16.177483
1368451800,16.125341,16.353552,16.124984,16.240698
1368538200,16.208916,16.257125,15.791052,15.852131
1368624600,15.684267,15.749984,15.084275,15.31606
1368711000,15.115699,15.637488,14.960696,15.520623
1368797400,15.680343,15.717487,15.393199,15.473556
1369056600,15.425339,15.921414,15.360702,15.81891
1369143000,15.648195,15.909983,15.507126,15.702124
1369229400,15.858914,16.012479,15.650698,15.762627
1369315800,15.569626,15.934267,15.563914,15.790695
1369402200,15.744631,15.916409,15.727131,15.898195
1369747800,16.067838,16.111059,15.744631,15.765661
1369834200,15.71427,15.982127,15.692838,15.891054
1369920600,15.916052,16.232127,15.875342,16.127844
1370007000,16.160698,16.324987,16.053555,16.061952
1370266200,16.097483,16.155702,15.802841,16.097126
1370352600,16.186411,16.229624,15.978194,16.046772
1370439000,15.916052,16.097126,15.846768,15.896774
1370525400,15.909626,15.96427,15.501772,15.659269
1370611800,15.58927,15.829984,15.456057,15.77895
1370871000,15.883198,16.038523,15.599986,15.674623
1370957400,15.562127,15.812842,15.475701,15.628559
1371043800,15.696413,15.758913,15.410699,15.43534
1371130200,15.446413,15.612123,15.312485,15.570166
1371216600,15.549981,15.581772,15.303556,15.358915
1371475800,15.408554,15.560697,15.370041,15.428556
1371562200,15.412844,15.532124,15.364626,15.420342
1371648600,15.407124,15.41641,15.107128,15.107128
1371735000,14.974987,15.213556,14.827482,14.887053
1371821400,14.946056,14.999985,14.574989,14.767842
1372080600,14.549982,14.594982,14.216059,14.376416
1372167000,14.489269,14.563915,14.243917,14.379624
1372253400,14.424982,14.456773,14.130697,14.216774
1372339800,14.258914,14.335339,14.054987,14.063558
1372426200,13.977133,14.295344,13.888205,14.161773
1372685400,14.381769,14.723915,14.32927,14.614984
1372771800,14.641413,15.058195,14.623913,14.946056
1372858200,15.030703,15.106413,14.908912,15.028558
1373031000,15.01391,15.117486,14.833917,14.907839
1373290200,15.003917,15.035699,14.666053,14.823201
1373376600,14.771417,15.124985,14.65641,15.083917
1373463000,14.985703,15.171415,14.937485,15.026056
1373549400,15.10534,15.294628,15.041777,15.260274
1373635800,15.273195,15.349629,15.121767,15.232485
1373895000,15.178914,15.409269,15.171415,15.265697
1373981400,15.232843,15.382483,15.148911,15.364094
1374067800,15.346411,15.436412,15.293555,15.368201
1374154200,15.477837,15.53106,15.378917,15.419915
1374240600,15.467845,15.49927,15.155346,15.176769
1374499800,15.33784,15.348199,15.195271,15.225344
1374586200,15.214271,15.248555,14.953912,14.963913
1374672600,15.676053,15.878202,15.544985,15.732485
1374759000,15.739268,15.764266,15.564629,15.660699
1374845400,15.546415,15.751414,15.512131,15.749627
1375104600,15.742843,16.071055,15.721411,15.992485
1375191000,16.069983,16.326766,16.043912,16.189986
1375277400,16.249626,16.333645,16.051053,16.161771
1375363800,16.276866,16.314271,16.187841,16.309842
1375450200,16.357484,16.530344,16.309266,16.519271
1375709400,16.596053,16.809623,16.505337,16.766053
1375795800,16.714984,16.853194,16.506052,16.616055
1375882200,16.564271,16.678555,16.49177,16.606411
1375968600,16.566233,16.574987,16.355339,16.464627
1376055000,16.37998,16.444982,16.201766,16.230339
1376314200,16.316416,16.73748,16.308194,16.691416
1376400600,16.819267,17.666408,16.716056,17.484628
1376487000,17.781407,18.008911,17.621407,17.803554
1376573400,17.729265,17.942801,17.467241,17.782479
1376659800,17.862479,17.962123,17.816415,17.940342
1376919000,18.012128,18.347838,17.999982,18.133553
1377005400,18.203909,18.234627,17.886413,17.895342
1377091800,17.985342,18.112478,17.89998,17.941415
1377178200,18.034981,18.056771,17.792838,17.962838
1377264600,17.973911,17.976771,17.833914,17.893554
1377523800,17.883911,18.221409,17.874982,17.963195
